Wavenumber,Percent Transmittance
563.238426,78.34376
564.202876,77.816377
565.167325,76.871183
566.131774,76.873785
567.096224,76.445536
568.060673,76.047065
569.025122,75.390301
569.989572,74.915226
570.954021,74.236381
571.918470,73.392009
572.882920,73.230443
573.847369,72.949014
574.811819,72.749437
575.776268,72.117236
576.740717,70.978628
577.705167,70.629046
578.669616,70.435162
579.634065,70.167279
580.598515,69.791786
581.562964,69.882953
582.527413,69.976133
583.491863,70.06196
584.456312,69.764368
585.420762,69.572306
586.385211,69.651705
587.349660,69.783445
588.314110,69.854647
589.278559,70.123381
590.243008,70.156208
591.207458,69.792526
592.171907,69.743648
593.136356,70.333454
594.100806,70.359538
595.065255,70.246905
596.029704,69.995638
596.994154,69.82385
597.958603,69.924993
598.923053,70.557294
599.887502,70.74782
600.851951,70.763154
601.816401,70.715174
602.780850,70.80524
603.745299,71.016721
604.709749,71.157176
605.674198,71.32816
606.638647,71.549738
607.603097,71.760845
608.567546,71.883142
609.531996,72.025565
610.496445,72.132975
611.460894,72.11169
612.425344,72.387913
613.389793,72.728632
614.354242,73.003537
615.318692,73.272477
616.283141,73.352734
617.247590,73.337585
618.212040,73.748424
619.176489,74.227895
620.140938,74.301558
621.105388,74.435529
622.069837,74.596787
623.034287,74.736674
623.998736,74.820425
624.963185,74.754407
625.927635,74.661836
626.892084,74.662342
627.856533,74.583241
628.820983,74.560198
629.785432,74.737514
630.749881,74.635274
631.714331,74.436583
632.678780,74.3614
633.643230,74.377454
634.607679,74.348147
635.572128,74.20009
636.536578,73.929068
637.501027,73.810212
638.465476,73.687126
639.429926,73.610745
640.394375,73.506706
641.358824,73.316623
642.323274,72.875162
643.287723,72.571554
644.252172,72.164595
645.216622,71.808103
646.181071,71.570807
647.145521,71.2037
648.109970,70.818115
649.074419,70.445697
650.038869,70.204158
651.003318,70.057933
651.967767,69.718387
652.932217,69.377259
653.896666,69.040226
654.861115,68.682788
655.825565,68.318878
656.790014,68.000635
657.754464,67.631197
658.718913,67.231066
659.683362,66.915785
660.647812,66.549925
661.612261,66.104985
662.576710,65.778842
663.541160,65.524301
