Wavenumber,Percent Transmittance
508.264813,118.439873
509.229262,118.341407
510.193711,119.299937
511.158161,119.364958
512.122610,118.971556
513.087060,119.217248
514.051509,118.694741
515.015958,118.432053
515.980408,119.286991
516.944857,118.599479
517.909306,118.797076
518.873756,119.018424
519.838205,118.882391
520.802654,119.757445
521.767104,120.401457
522.731553,120.082191
523.696002,120.128459
524.660452,120.19576
525.624901,119.747097
526.589351,119.373331
527.553800,119.286446
528.518249,119.377084
529.482699,119.663633
530.447148,119.50158
531.411597,119.798405
532.376047,119.806307
533.340496,119.551846
534.304945,119.7684
535.269395,119.891159
536.233844,119.43232
537.198294,119.52703
538.162743,119.887216
539.127192,120.515945
540.091642,120.030773
541.056091,119.679117
542.020540,120.105628
542.984990,120.019364
543.949439,119.956079
544.913888,120.338657
545.878338,119.793696
546.842787,118.817318
547.807236,117.866939
548.771686,117.916827
549.736135,118.694389
550.700585,118.645905
551.665034,118.899679
552.629483,119.738591
553.593933,119.908422
554.558382,119.807742
555.522831,119.879979
556.487281,119.059403
557.451730,118.926867
558.416179,119.22369
559.380629,119.438806
560.345078,119.608328
561.309528,119.380314
562.273977,118.958877
563.238426,119.038795
564.202876,118.725654
565.167325,117.834638
566.131774,117.628729
567.096224,116.962586
568.060673,116.213828
569.025122,115.529718
569.989572,115.351913
570.954021,114.790792
571.918470,114.040051
572.882920,114.115616
573.847369,113.478364
574.811819,112.989903
575.776268,112.546403
576.740717,111.236424
577.705167,110.643183
578.669616,110.188326
579.634065,109.9937
580.598515,109.930494
581.562964,110.283921
582.527413,110.469342
583.491863,110.415915
584.456312,110.148463
585.420762,109.930863
586.385211,109.911746
587.349660,110.223336
588.314110,110.581559
589.278559,111.238864
590.243008,111.348134
591.207458,111.164409
592.171907,111.189863
593.136356,111.523931
594.100806,111.512334
595.065255,111.68872
596.029704,111.408088
596.994154,110.878072
597.958603,110.557151
598.923053,111.218047
599.887502,111.925194
600.851951,112.075167
601.816401,112.131229
602.780850,112.280261
603.745299,112.509403
604.709749,112.611248
605.674198,112.715025
606.638647,112.944259
607.603097,113.279854
608.567546,113.462359
609.531996,113.505062
610.496445,113.605231
611.460894,113.729884
612.425344,114.019344
613.389793,114.431003
614.354242,114.803846
615.318692,115.338669
616.283141,115.554552
617.247590,115.470587
618.212040,115.742588
619.176489,116.20827
620.140938,116.119178
621.105388,116.169651
622.069837,116.270292
623.034287,116.323478
623.998736,116.491452
624.963185,116.653922
625.927635,116.458251
626.892084,116.251464
627.856533,116.10147
628.820983,116.057678
629.785432,116.170977
630.749881,116.226889
631.714331,116.174551
632.678780,116.086923
633.643230,116.041773
634.607679,116.050891
635.572128,115.997726
636.536578,115.819299
637.501027,115.951113
638.465476,115.767664
639.429926,115.536021
640.394375,115.426818
641.358824,115.175875
642.323274,114.453812
643.287723,114.104134
644.252172,113.746
645.216622,113.560144
646.181071,113.398382
647.145521,113.121791
648.109970,112.931119
649.074419,112.507704
650.038869,112.255954
651.003318,112.258739
651.967767,112.052191
652.932217,111.797898
653.896666,111.548008
654.861115,111.304101
655.825565,111.036819
656.790014,110.796556
657.754464,110.47929
658.718913,110.186339
659.683362,109.965437
660.647812,109.687951
661.612261,109.299086
662.576710,109.126253
663.541160,108.987079
664.505609,108.652676
665.470058,108.106273
666.434508,108.468218
667.398957,113.796507
668.363406,106.043414
669.327856,103.228689
670.292305,103.990665
671.256755,103.734205
672.221204,103.078475
673.185653,102.318627
674.150103,101.552359
675.114552,100.723007
676.079001,99.937196
677.043451,99.059616
678.007900,98.242339
678.972349,97.451136
679.936799,96.708018
680.901248,95.847325
681.865698,95.000292
682.830147,94.052704
683.794596,93.193466
684.759046,92.396128
685.723495,91.658022
686.687944,90.836885
687.652394,90.087021
688.616843,89.300436
689.581292,88.621018
690.545742,88.00945
691.510191,87.502947
692.474640,87.032205
693.439090,86.357203
694.403539,85.571445
695.367989,84.902185
696.332438,84.347385
697.296887,83.829219
698.261337,83.216429
699.225786,82.622704
700.190235,82.000565
701.154685,81.345674
702.119134,80.66579
703.083583,79.679866
704.048033,78.405693
705.012482,77.360109
705.976932,76.389979
706.941381,75.513594
707.905830,73.998859
708.870280,72.707455
709.834729,71.130733
710.799178,69.44831
711.763628,67.698634
712.728077,65.74869
713.692526,63.564002
714.656976,61.514673
715.621425,59.323693
716.585874,56.991792
717.550324,54.300125
718.514773,51.416896
719.479223,48.436132
720.443672,45.911669
721.408121,44.56688
722.372571,44.405056
723.337020,45.101456
724.301469,46.627254
725.265919,48.577002
726.230368,50.826105
727.194817,53.133655
728.159267,55.505656
729.123716,57.675021
730.088166,59.758432
731.052615,61.806911
732.017064,63.981075
732.981514,65.969551
733.945963,67.964517
734.910412,69.936725
735.874862,71.939415
736.839311,73.941278
737.803760,75.925819
738.768210,77.667948
739.732659,79.491447
740.697108,81.10083
741.661558,82.729691
742.626007,84.241837
743.590457,85.83527
744.554906,87.383251
745.519355,88.867431
746.483805,90.172885
747.448254,91.485096
748.412703,92.805252
749.377153,94.025018
750.341602,95.126691
751.306051,96.308728
752.270501,97.388501
753.234950,98.180397
754.199400,98.751681
755.163849,99.320525
756.128298,99.71892
757.092748,100.129608
758.057197,100.420627
759.021646,100.698975
759.986096,100.893838
760.950545,101.269274
761.914994,101.602774
762.879444,101.905036
763.843893,102.109392
764.808342,102.326315
765.772792,102.616777
766.737241,103.236237
767.701691,103.835074
768.666140,104.522618
769.630589,104.884889
770.595039,105.328761
771.559488,106.013851
772.523937,106.722899
773.488387,107.272182
774.452836,107.829763
775.417285,108.464881
776.381735,109.22264
777.346184,109.785536
778.310634,110.197606
779.275083,110.788428
780.239532,111.380875
781.203982,111.584534
782.168431,111.779287
783.132880,112.235351
784.097330,112.956507
785.061779,113.558071
786.026228,113.917833
786.990678,114.209181
787.955127,114.830931
788.919576,115.233914
789.884026,115.537603
790.848475,115.8011
791.812925,116.113717
792.777374,116.338579
793.741823,116.487798
794.706273,116.538216
795.670722,116.718364
796.635171,116.863372
797.599621,116.824421
798.564070,116.775159
799.528519,116.916829
800.492969,117.001353
801.457418,116.8828
802.421868,116.586544
803.386317,116.471181
804.350766,116.590266
805.315216,116.331966
806.279665,115.895737
807.244114,115.96581
808.208564,115.836567
809.173013,115.507088
810.137462,115.231193
811.101912,115.014374
812.066361,114.782126
813.030810,114.523946
813.995260,114.139026
814.959709,113.866448
815.924159,113.582955
816.888608,113.498669
817.853057,113.506769
818.817507,113.204615
819.781956,112.913392
820.746405,112.689035
821.710855,112.180903
822.675304,111.849458
823.639753,111.57129
824.604203,111.18345
825.568652,110.92449
826.533102,110.900311
827.497551,110.758794
828.462000,110.549199
829.426450,110.022323
830.390899,109.542085
831.355348,109.305691
832.319798,109.150995
833.284247,108.772147
834.248696,108.586986
835.213146,108.258477
836.177595,107.783718
837.142044,107.273328
838.106494,106.834219
839.070943,106.343186
840.035393,105.734182
840.999842,105.066947
841.964291,104.781864
842.928741,104.568515
843.893190,104.202576
844.857639,103.709541
845.822089,103.271083
846.786538,102.901965
847.750987,102.749803
848.715437,102.565613
849.679886,102.532818
850.644336,102.252906
851.608785,101.889771
852.573234,101.624795
853.537684,101.583569
854.502133,101.510258
855.466582,101.57544
856.431032,101.524178
857.395481,101.410321
858.359930,101.327754
859.324380,101.388384
860.288829,101.294683
861.253278,101.104381
862.217728,100.921013
863.182177,100.990063
864.146627,100.856734
865.111076,100.71784
866.075525,100.615344
867.039975,100.408751
868.004424,99.95734
868.968873,99.715982
869.933323,99.612793
870.897772,99.472786
871.862221,99.485859
872.826671,99.648426
873.791120,99.679639
874.755570,99.699269
875.720019,99.869215
876.684468,100.168911
877.648918,100.354163
878.613367,100.589545
879.577816,100.636731
880.542266,100.542498
881.506715,100.623223
882.471164,100.856856
883.435614,100.783335
884.400063,100.585144
885.364512,100.423257
886.328962,100.355688
887.293411,100.151471
888.257861,100.094953
889.222310,100.002535
890.186759,100.024975
891.151209,100.157857
892.115658,100.248298
893.080107,100.361359
894.044557,100.543662
895.009006,100.689444
895.973455,100.929857
896.937905,100.989475
897.902354,101.009155
898.866804,101.055869
899.831253,101.017953
900.795702,100.76658
