Wavenumber,Percent Transmittance
723.337020,56.220877
724.301469,56.73151
725.265919,57.501269
726.230368,58.315124
727.194817,59.236997
728.159267,60.393257
729.123716,61.469654
730.088166,62.502731
731.052615,63.444497
732.017064,64.465199
732.981514,65.582235
733.945963,66.734952
734.910412,67.739319
735.874862,68.872693
736.839311,70.109353
737.803760,71.275195
738.768210,72.375887
739.732659,73.484859
740.697108,74.315417
741.661558,75.206142
742.626007,76.090129
743.590457,77.098394
744.554906,78.11032
745.519355,78.930368
746.483805,79.594286
747.448254,80.374646
748.412703,81.257992
749.377153,82.007754
750.341602,82.627047
751.306051,83.351418
752.270501,84.028441
753.234950,84.499307
754.199400,84.930334
755.163849,85.324465
756.128298,85.523487
757.092748,85.650891
758.057197,85.812885
759.021646,86.136032
759.986096,86.352913
760.950545,86.652472
761.914994,86.880972
762.879444,87.036749
763.843893,87.135832
764.808342,87.242825
765.772792,87.372686
766.737241,87.792343
767.701691,88.305508
768.666140,88.687505
769.630589,88.758823
770.595039,88.988002
771.559488,89.404791
772.523937,89.710876
773.488387,89.988487
774.452836,90.3426
775.417285,90.609358
776.381735,90.906517
777.346184,91.222021
778.310634,91.46785
779.275083,91.782783
780.239532,92.05023
781.203982,91.995854
782.168431,91.947892
783.132880,92.049369
784.097330,92.265007
785.061779,92.468444
786.026228,92.540642
786.990678,92.713243
787.955127,93.024238
788.919576,93.012669
789.884026,92.995171
790.848475,93.109799
791.812925,93.118542
792.777374,93.087977
793.741823,93.208119
794.706273,93.226091
795.670722,93.347717
796.635171,93.572007
797.599621,93.658177
798.564070,93.757296
799.528519,93.933168
800.492969,94.041533
801.457418,94.182296
802.421868,94.183207
803.386317,94.1295
804.350766,94.246021
805.315216,94.148458
806.279665,93.969015
807.244114,94.094303
808.208564,94.065256
809.173013,93.914261
810.137462,93.83414
811.101912,93.868643
812.066361,93.731456
813.030810,93.506084
813.995260,93.331509
814.959709,93.370452
815.924159,93.340008
816.888608,93.328589
817.853057,93.400743
818.817507,93.33395
819.781956,93.194467
820.746405,93.068909
821.710855,92.794698
822.675304,92.551651
823.639753,92.317822
824.604203,92.128274
825.568652,92.045644
826.533102,92.038748
827.497551,91.941177
828.462000,91.784301
829.426450,91.521479
830.390899,91.389417
831.355348,91.249405
832.319798,91.151449
833.284247,90.992093
834.248696,91.032
835.213146,90.974918
836.177595,90.850103
837.142044,90.685573
838.106494,90.515679
839.070943,90.321226
840.035393,89.980388
840.999842,89.605734
841.964291,89.475399
842.928741,89.418368
843.893190,89.214332
844.857639,88.969566
845.822089,88.880012
846.786538,88.814843
847.750987,88.803505
848.715437,88.712936
849.679886,88.863302
850.644336,88.839789
851.608785,88.61123
852.573234,88.329897
853.537684,88.301375
854.502133,88.330902
855.466582,88.486842
856.431032,88.468234
857.395481,88.312819
858.359930,88.218922
859.324380,88.318652
860.288829,88.237483
861.253278,88.100969
862.217728,87.974322
863.182177,87.980343
864.146627,87.978059
865.111076,87.886462
866.075525,87.827369
867.039975,87.798028
868.004424,87.640499
868.968873,87.72506
869.933323,87.807166
870.897772,87.735942
871.862221,87.801885
872.826671,87.937235
873.791120,87.998174
874.755570,88.037993
875.720019,88.069601
876.684468,88.164985
877.648918,88.276247
878.613367,88.364966
879.577816,88.285081
880.542266,88.132478
881.506715,88.137099
882.471164,88.245825
883.435614,88.220223
884.400063,88.139847
885.364512,88.048946
886.328962,88.052348
887.293411,87.81291
888.257861,87.697327
889.222310,87.694082
